,Coda,Pythen,Frie,Kale,Vern,Topaz,Cursor,Pane,Crystal
HP,medhi,medhi,medlow,med,,,,medhi,med
SP,medlow,med,med,medlow,,,,medhi,high
MOR,med,med,med,med,medhi,,,low,medlow
FUL,medlow,medhi,med,med,,,,high,med
METB,med,med,medlow,medhi,,,,high,med
AQUI,high,medlow,medlow,med,,,,med,med
ATK,low,medlow,med,high,,,,medhi,medlow
SATK,medhi,med,medhi,low,,,,medhi,medhi
DEF,med,low,medhi,med,,,,low,low
SDEF,medlow,high,medhi,medlow,,,,medlow,med
TEMP,medlow,medlow,low,med,med,med,med,medhi,med
SPEED,low,medhi,med,med,,,,medlow,medhi
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Low = 10,,,,,,,,
,Medlow = 20,,,,,,,,
,Med = 30,,,,,,,,
,Medhi = 40,,,,,,,,
,High = 50,,,,,,,,
